Code,Label,Longitude,Latitude
OTT2,Ottere,7.5616365285,46.5397016993
NAR2,Bassa di Nara,8.8686355598,46.4729905441
ANV1,Corne de Sorebois,7.5866645685,46.1507642468
MUT1,Ruchi,9.0450796939,46.863574033
BIN4,Schapleralpa,8.2089905908,46.3482268322
ELA2,Tschitta,9.714693958,46.5914246875
URS1,Gross Schijen,8.6383104894,46.6681313349
SAA5,Mälliga,7.9813854913,46.1274832422
TUJ1,Crispalt,8.694490284,46.6837291216
MES1,Piz Pian Grand,9.1556970675,46.4174815167
SCA1,Gross Windgällen,8.7321316095,46.8072552914
SLF2,Davos Stilli (SLF),9.8482647161,46.8127671605
CHA1,La Para,7.1524524668,46.3828977375
MTR2,Predanass,8.917591252,46.4087259824
FNH1,Le Luisin,6.9699710885,46.120718532
EGH2,Flesch,8.0917150997,46.4168105095
ORT2,Ortstock Matt,8.9585495408,46.9180816426
TRU2,Trubelboden,7.5855719555,46.3709514336
ATT2,Lac des Vaux,7.2699181277,46.1052869814
ZNZ2,Pülschezza,10.018844256,46.6977161659
OBM2,Obere Meiel,7.2143855539,46.4217730982
MLB1,Spitz,9.6239926506,47.0867605724
ZER4,Stafelalp,7.7023907351,45.9979893991
HTR2,Alp Piänetsch,9.2043350473,46.5443790013
PMA2,Colms da Parsonz,9.5373872088,46.5800758554
DAV6,Luksch Alp,9.8912630265,46.7825936431
