Entfernung [m],Höhenunterschied [m],Zeit [s],Geschwindigkeit [m/s],Geschwindigkeit [km/h]
13.431469,-2.600000,1.000000,13.431469,48.353290
11.638343,-3.200000,1.000000,11.638343,41.898034
14.670786,-5.400000,1.000000,14.670786,52.814830
15.045522,-1.000000,1.000000,15.045522,54.163880
12.332814,-0.400000,1.000000,12.332814,44.398129
24.089244,-2.800000,2.000000,12.044622,43.360639
14.376409,-3.600000,1.000000,14.376409,51.755073
14.445961,-4.800000,1.000000,14.445961,52.005458
13.781419,-2.800000,1.000000,13.781419,49.613108
13.533412,-1.600000,1.000000,13.533412,48.720284
12.672370,-1.400000,1.000000,12.672370,45.620532
8.266480,-0.600000,2.000000,4.133240,14.879665
7.086674,-0.200000,1.000000,7.086674,25.512027
6.241939,-0.200000,2.000000,3.120970,11.235491
6.241936,0.200000,4.000000,1.560484,5.617742
6.369329,1.600000,1132.000000,0.005627,0.020256
6.615261,-2.200000,1.000000,6.615261,23.814941
10.617321,-3.000000,1.000000,10.617321,38.222357
9.759016,-3.200000,1.000000,9.759016,35.132458
8.990145,-1.800000,1.000000,8.990145,32.364522
10.835319,-5.000000,1.000000,10.835319,39.007150
10.857129,-2.400000,1.000000,10.857129,39.085663
8.622422,-1.400000,1.000000,8.622422,31.040718
8.508857,-2.800000,1.000000,8.508857,30.631887
12.967136,-4.800000,1.000000,12.967136,46.681688
13.137307,-3.400000,1.000000,13.137307,47.294306
12.807185,-3.800000,1.000000,12.807185,46.105866
14.643485,-1.200000,1.000000,14.643485,52.716547
9.560659,-0.600000,1.000000,9.560659,34.418374
9.123235,-2.200000,1.000000,9.123235,32.843645
12.201767,-0.400000,1.000000,12.201767,43.926361
9.828305,-1.200000,1.000000,9.828305,35.381899
8.703193,-1.200000,1.000000,8.703193,31.331496
9.969650,-4.800000,1.000000,9.969650,35.890740
8.673412,-1.600000,1.000000,8.673412,31.224283
11.446672,-1.400000,1.000000,11.446672,41.208018
11.669661,-3.800000,1.000000,11.669661,42.010781
11.088584,-2.800000,1.000000,11.088584,39.918901
8.632108,-3.200000,1.000000,8.632108,31.075590
7.680079,-2.600000,1.000000,7.680079,27.648285
11.855278,-3.400000,1.000000,11.855278,42.678999
8.825512,-1.800000,1.000000,8.825512,31.771843
7.682248,-1.600000,1.000000,7.682248,27.656093
7.941441,-4.600000,1.000000,7.941441,28.589187
5.276712,-2.200000,1.000000,5.276712,18.996162
4.655312,-1.600000,1.000000,4.655312,16.759125
6.453865,-1.000000,2.000000,3.226933,11.616958
2.089719,-1.200000,2.000000,1.044860,3.761495
12.387868,-1.200000,4.000000,3.096967,11.149081
3.058362,-0.400000,1.000000,3.058362,11.010104
3.753026,-0.800000,1.000000,3.753026,13.510892
4.626237,-0.200000,2.000000,2.313119,8.327227
9.386623,-0.200000,1.000000,9.386623,33.791844
7.522317,-0.800000,4.000000,1.880579,6.770086
7.482329,-0.200000,2.000000,3.741164,13.468191
8.046592,-2.600000,8.000000,1.005824,3.620966
7.575302,-1.200000,1.000000,7.575302,27.271088
12.519025,-2.200000,1.000000,12.519025,45.068490
13.178922,-2.600000,1.000000,13.178922,47.444120
13.628187,-3.600000,1.000000,13.628187,49.061473
12.764155,-2.000000,1.000000,12.764155,45.950957
12.223830,-1.400000,1.000000,12.223830,44.005787
11.363831,-1.400000,1.000000,11.363831,40.909793
10.907265,-0.800000,1.000000,10.907265,39.266154
10.254537,-0.600000,1.000000,10.254537,36.916335
9.061777,-0.800000,1.000000,9.061777,32.622398
8.436603,-0.400000,1.000000,8.436603,30.371770
