AMD1,Mattstock,0101000020080800004EDAFF7F63D14441D29DFFFFDDB33241,83
SIM2,Piano del Simano,0101000020080800009601000079BD4441F48FFFFF07823141,169
WFJ2,Weissfluhjoch,01010000200808000055020080583745416F2500006F253241,60
GUT2,Homad,01010000200808000016FFFFFF4C5544413BC4FFFFDBDA3141,36
SCA2,Seewli,0101000020080800001C010080BA944441ABD1FFFF9E163241,187
ELS1,Elsighorn,0101000020080800008B0B00003EF443413BC4FFFFC19A3141,222
HTR3,Unter Surettasee,0101000020080800002CFBFFFF41F44441AAB4FFFF73A23141,160
PUZ2,Ils Plauns,01010000200808000094D5FF7F17AB4441AF28000059C63141,4
FUL1,Grand Chavalard,010100002008080000A9D1FFFF03A543410AD8FFFF4A003141,154
ANV3,Tracuit,01010000200808000011EFFF7F00F743418404000034E73041,133
ARO2,Les Fontanesses,010100002008080000870E000037D74341EA3B0000FFBE3041,158
VLS1,Piz Aul,010100002008080000A2E3FFFF61D24441562400005DC63141,168
SCH1,Schilthorn,01010000200808000079FCFFFF84114441B595FFFFCDA43141,34
SAA4,Gibidum,0101000020080800007D0400809C1C4441FEEFFFFFF6E83041,5
CAM1,Tremorgio,01010000200808000037EBFF7F5A9344416405000025873141,195
MLB2,Bärgtälli,010100002008080000150000005E18454166AEFFFF15943241,84
STH1,Stockhorn,010100002008080000A10A00000EE54341B7A5FFFFD1DF3141,176
DIA2,Tsanfleuron,010100002008080000DCECFF7F65B84341819EFFFF883B3141,314
TUM1,Piz Tumpiv,0101000020080800009AD4FFFFD2BD4441B2030000F40B3241,136
ANV2,Orzival,010100002008080000F7EDFFFFB5E4434147C5FFFF45043141,133
ENG2,Fitteren,010100002008080000C1FCFFFF37DA44418BF1FFFF68673241,152
JAU2,Fochsen,0101000020080800004FFCFFFF94BD43417BB7FFFF71C53141,175
VDS1,Crêta Besse,0101000020080800002AE4FFFF20C943416FC1FFFF09373141,123
STH2,Vorderstocken,010100002008080000000300003BE24341AF260000AFDA3141,176
CSL2,Col du Chasseral,0101000020080800006FCFFFFFC09943419AD3FFFF91973241,124
ALI2,Chenau,010100002008080000B0EFFFFF5693434143B0FFFF0F873141,143
CAM3,Solco,010100002008080000D2DCFF7F9C9444413FB1FFFF4D893141,195
PUZ1,La Muota,01010000200808000032CCFF7F42AA44413DB4FFFFFAC43141,4
KLT3,"Ruoggis, Unter Stafel",010100002008080000C85D796958B94441DFA05A6E78763241,283
BER3,Puoz Bass,0101000020080800000AEDFF7FE3494541E7E3FFFFB27D3141,77
LHO2,Russisprung,0101000020080800006EE3FF7FBD214441D1BBFFFF0DB03141,241
VRG3,Porcaresc,01010000200808000098EFFFFF3D7244415C410000F31C3141,226
MUN2,Chiematte,010100002008080000BFD4FFFF4C1F44416F2B000095433141,159
LAG2,Tscheppa,0101000020080800002CE9FFFF1E304541BB250000AA803141,76
WAS2,Teststation Rienzenstock,0101000020080800004E7A37C787874441959A35168BDE3141,4
ALI1,Vanil des Artses,010100002008080000DB0000006E9243411CE2FFFF4C843141,143
BOV1,Pointe de Boveire,010100002008080000500E00800BB843418B97FFFF31B03041,261
BEV2,Valetta,01010000200808000027CBFF7F693D45415EECFFFFC7A73141,74
LUM3,Lumpegna Nord,0101000020080800007E0A4D0EB1AA44418D54BAF256F43141,4
ARO3,Bréona,01010000200808000012E0FFFFC4E843415A88FFFF7CD83041,223
ELM1,Mittler Blistock,01010000200808000040DAFFFF45D0444147F9FFFF574C3241,152
DAV4,Frauentobel,010100002008080000DD040080FA3345410F0900007D113241,62
MES2,Pian Grand,010100002008080000AEE1FF7FA5D8444156210000F36B3141,196
GRA1,Jumelles,010100002008080000D10A00002978434166310000364C3141,44
